Estado,Año,Mes,Tasa de desempleo
Colorado,2015,Febrero,4.1
Colorado,2015,Enero,4.1
Colorado,2016,Diciembre,2.7
Colorado,2016,Noviembre,2.9
Colorado,2016,Octubre,3.0
Colorado,2016,Septiembre,3.0
Colorado,2016,Agosto,3.1
Colorado,2016,Julio,3.2
Colorado,2016,Junio,3.2
Colorado,2016,Mayo,3.3
Colorado,2016,Abril,3.3
Colorado,2016,Marzo,3.3
Colorado,2016,Febrero,3.3
Colorado,2016,Enero,3.3
Colorado,2017,Diciembre,2.8
Colorado,2017,Noviembre,2.8
Colorado,2017,Octubre,2.8
Colorado,2017,Septiembre,2.8
Colorado,2017,Agosto,2.7
Colorado,2017,Julio,2.6
Colorado,2017,Junio,2.5
Colorado,2017,Mayo,2.4
Colorado,2017,Abril,2.4
Colorado,2017,Marzo,2.4
Colorado,2017,Febrero,2.5
Colorado,2017,Enero,2.6
Colorado,2018,Diciembre,3.0
Colorado,2018,Noviembre,3.1
Colorado,2018,Octubre,3.1
Colorado,2018,Septiembre,3.1
Colorado,2018,Agosto,3.1
Colorado,2018,Julio,3.1
Colorado,2018,Junio,3.1
Colorado,2018,Mayo,3.0
Colorado,2018,Abril,2.9
Colorado,2018,Marzo,2.9
Colorado,2018,Febrero,2.9
Colorado,2018,Enero,2.8
Colorado,2019,Diciembre,2.6
Colorado,2019,Noviembre,2.6
Colorado,2019,Octubre,2.5
Colorado,2019,Septiembre,2.5
Colorado,2019,Agosto,2.5
Colorado,2019,Julio,2.5
Colorado,2019,Junio,2.5
Colorado,2019,Mayo,2.5
Colorado,2019,Abril,2.6
Colorado,2019,Marzo,2.7
Colorado,2019,Febrero,2.8
Colorado,2019,Enero,2.9
Connecticut,2010,Diciembre,9.5
Connecticut,2010,Noviembre,9.6
Connecticut,2010,Octubre,9.6
Connecticut,2010,Septiembre,9.5
Connecticut,2010,Agosto,9.5
Connecticut,2010,Julio,9.5
Connecticut,2010,Junio,9.5
Connecticut,2010,Mayo,9.6
Connecticut,2010,Abril,9.6
Connecticut,2010,Marzo,9.7
Connecticut,2010,Febrero,9.6
Connecticut,2010,Enero,9.5
Connecticut,2011,Diciembre,8.5
Connecticut,2011,Noviembre,8.6
Connecticut,2011,Octubre,8.7
Connecticut,2011,Septiembre,8.8
Connecticut,2011,Agosto,9.0
Connecticut,2011,Julio,9.0
Connecticut,2011,Junio,9.1
Connecticut,2011,Mayo,9.2
Connecticut,2011,Abril,9.2
Connecticut,2011,Marzo,9.3
Connecticut,2011,Febrero,9.4
Connecticut,2011,Enero,9.4
Connecticut,2012,Diciembre,8.3
Connecticut,2012,Noviembre,8.3
Connecticut,2012,Octubre,8.3
Connecticut,2012,Septiembre,8.4
Connecticut,2012,Agosto,8.4
Connecticut,2012,Julio,8.4
Connecticut,2012,Junio,8.4
Connecticut,2012,Mayo,8.4
Connecticut,2012,Abril,8.4
Connecticut,2012,Marzo,8.3
Connecticut,2012,Febrero,8.3
Connecticut,2012,Enero,8.4
Connecticut,2013,Diciembre,7.4
Connecticut,2013,Noviembre,7.5
Connecticut,2013,Octubre,7.6
Connecticut,2013,Septiembre,7.8
Connecticut,2013,Agosto,7.9
Connecticut,2013,Julio,8.0
Connecticut,2013,Junio,8.1
Connecticut,2013,Mayo,8.1
Connecticut,2013,Abril,8.2
Connecticut,2013,Marzo,8.2
Connecticut,2013,Febrero,8.3
Connecticut,2013,Enero,8.3
Connecticut,2014,Diciembre,6.1
Connecticut,2014,Noviembre,6.2
Connecticut,2014,Octubre,6.3
Connecticut,2014,Septiembre,6.4
Connecticut,2014,Agosto,6.5
Connecticut,2014,Julio,6.6
Connecticut,2014,Junio,6.6
Connecticut,2014,Mayo,6.7
Connecticut,2014,Abril,6.8
Connecticut,2014,Marzo,6.9
Connecticut,2014,Febrero,7.1
Connecticut,2014,Enero,7.2
Connecticut,2015,Diciembre,5.3
Connecticut,2015,Noviembre,5.4
Connecticut,2015,Octubre,5.4
Connecticut,2015,Septiembre,5.4
Connecticut,2015,Agosto,5.5
Connecticut,2015,Julio,5.6
Connecticut,2015,Junio,5.6
Connecticut,2015,Mayo,5.7
Connecticut,2015,Abril,5.8
Connecticut,2015,Marzo,5.8
Connecticut,2015,Febrero,5.9
Connecticut,2015,Enero,6.0
Connecticut,2016,Diciembre,4.6
Connecticut,2016,Noviembre,4.6
Connecticut,2016,Octubre,4.7
Connecticut,2016,Septiembre,4.7
Connecticut,2016,Agosto,4.7
Connecticut,2016,Julio,4.8
Connecticut,2016,Junio,4.9
Connecticut,2016,Mayo,4.9
Connecticut,2016,Abril,5.0
Connecticut,2016,Marzo,5.1
Connecticut,2016,Febrero,5.2
Connecticut,2016,Enero,5.2
Connecticut,2017,Diciembre,4.3
Connecticut,2017,Noviembre,4.3
Connecticut,2017,Octubre,4.3
Connecticut,2017,Septiembre,4.4
Connecticut,2017,Agosto,4.4
Connecticut,2017,Julio,4.4
Connecticut,2017,Junio,4.4
Connecticut,2017,Mayo,4.4
Connecticut,2017,Abril,4.5
Connecticut,2017,Marzo,4.5
Connecticut,2017,Febrero,4.5
Connecticut,2017,Enero,4.6
Connecticut,2018,Diciembre,3.7
Connecticut,2018,Noviembre,3.8
Connecticut,2018,Octubre,3.8
Connecticut,2018,Septiembre,3.8
Connecticut,2018,Agosto,3.8
Connecticut,2018,Julio,3.9
Connecticut,2018,Junio,3.9
Connecticut,2018,Mayo,4.0
Connecticut,2018,Abril,4.0
Connecticut,2018,Marzo,4.1
Connecticut,2018,Febrero,4.2
Connecticut,2018,Enero,4.2
Connecticut,2019,Diciembre,3.5
Connecticut,2019,Noviembre,3.5
