estado,fecha,promedio_dias
Delaware,2010-10,116.0
South Dakota,2010-10,
Alaska,2010-10,109.0
North Dakota,2010-10,108.0
Vermont,2010-10,136.0
District of Columbia,2010-10,98.0
Wyoming,2010-10,86.5
Puerto Rico,2010-10,
California,2010-11,100.0
Texas,2010-11,120.0
New York,2010-11,154.0
Florida,2010-11,117.0
Illinois,2010-11,141.0
Pennsylvania,2010-11,124.0
Ohio,2010-11,132.0
Michigan,2010-11,116.0
Georgia,2010-11,124.0
North Carolina,2010-11,144.0
New Jersey,2010-11,154.0
Virginia,2010-11,110.0
Washington,2010-11,121.0
Massachusetts,2010-11,118.0
Indiana,2010-11,125.0
Arizona,2010-11,99.0
Tennessee,2010-11,137.0
Missouri,2010-11,117.0
Maryland,2010-11,121.0
Wisconsin,2010-11,134.0
Minnesota,2010-11,130.0
Colorado,2010-11,117.0
Alabama,2010-11,138.0
South Carolina,2010-11,142.0
Louisiana,2010-11,115.0
Kentucky,2010-11,114.0
Oregon,2010-11,122.0
Oklahoma,2010-11,111.0
Connecticut,2010-11,125.0
Iowa,2010-11,110.0
Mississippi,2010-11,119.0
Arkansas,2010-11,131.0
Kansas,2010-11,114.0
Utah,2010-11,112.0
Nevada,2010-11,102.0
New Mexico,2010-11,129.0
West Virginia,2010-11,136.0
Nebraska,2010-11,114.0
Idaho,2010-11,115.0
Hawaii,2010-11,81.0
Maine,2010-11,131.0
New Hampshire,2010-11,104.0
Rhode Island,2010-11,138.5
Montana,2010-11,131.0
Delaware,2010-11,132.0
South Dakota,2010-11,
Alaska,2010-11,104.0
North Dakota,2010-11,125.0
Vermont,2010-11,156.0
District of Columbia,2010-11,80.0
Wyoming,2010-11,96.0
Puerto Rico,2010-11,
California,2010-12,103.0
Texas,2010-12,125.0
New York,2010-12,158.0
Florida,2010-12,118.0
Illinois,2010-12,146.0
Pennsylvania,2010-12,130.0
Ohio,2010-12,138.0
Michigan,2010-12,117.0
Georgia,2010-12,137.0
North Carolina,2010-12,149.0
New Jersey,2010-12,157.0
